2026-04-11 12:00:03.005 | INFO     | pipeline:ingest_documents:240 | Ingestion complete: 1 docs, 3 chunks in 5.96s
2026-04-11 12:00:03.008 | INFO     | document_loader:load_txt:120 | Loaded TXT: sample_nlp_notes.txt (6036 chars)
2026-04-11 12:00:03.009 | INFO     | document_loader:batch_load:211 | Batch loaded 1 document sections from 1 files
2026-04-11 12:00:03.009 | INFO     | pipeline:ingest_documents:159 | Loaded 1 document sections
2026-04-11 12:00:03.314 | DEBUG    | chunker:chunk_by_sentence:240 | Sentence chunking: 3 chunks from 46 sentences
2026-04-11 12:00:03.314 | INFO     | pipeline:ingest_documents:186 | Generated 3 chunks using 'sentence' strategy
2026-04-11 12:00:08.867 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 12:00:08.868 | INFO     | embedder:embed_and_cache:121 | Loaded cached embeddings from C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\embeddings_cache\embeddings.npy
2026-04-11 12:00:08.869 | INFO     | pipeline:ingest_documents:212 | Computed embeddings: shape (3, 384)
2026-04-11 12:00:08.869 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 3 vectors, dim=384
2026-04-11 12:00:08.872 | INFO     | indexer:save:188 | Saved FAISS index (3 vectors) to C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\faiss_index\index.faiss
2026-04-11 12:00:08.874 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 3 chunks
2026-04-11 12:00:08.874 | INFO     | pipeline:ingest_documents:240 | Ingestion complete: 1 docs, 3 chunks in 5.87s
2026-04-11 12:00:09.206 | DEBUG    | chunker:chunk_fixed:145 | Fixed chunking: 4 chunks from 34 words
2026-04-11 12:00:09.501 | DEBUG    | chunker:chunk_by_sentence:240 | Sentence chunking: 3 chunks from 8 sentences
2026-04-11 12:00:09.730 | DEBUG    | chunker:chunk_by_paragraph:330 | Paragraph chunking: 1 chunks from 3 paragraphs
2026-04-11 12:00:10.515 | DEBUG    | chunker:chunk_by_sentence:240 | Sentence chunking: 1 chunks from 8 sentences
2026-04-11 12:00:10.517 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 10 vectors, dim=384
2026-04-11 12:00:10.518 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 2 vectors, dim=384
2026-04-11 12:00:10.520 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 5 vectors, dim=384
2026-04-11 12:00:10.521 | INFO     | indexer:add:160 | Added 3 vectors to index (total: 8)
2026-04-11 12:00:16.041 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 12:00:16.654 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 3 vectors, dim=384
2026-04-11 12:00:16.654 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 3 chunks
2026-04-11 12:00:22.112 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 12:00:22.601 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 5 vectors, dim=384
2026-04-11 12:00:22.601 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 5 chunks
2026-04-11 12:00:28.174 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 12:00:28.281 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 20 vectors, dim=384
2026-04-11 12:00:28.281 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 20 chunks
2026-04-11 12:00:28.282 | INFO     | retriever:retrieve:283 | Retrieving for query: 'What is NLP?...'
2026-04-11 12:00:28.723 | DEBUG    | retriever:retrieve:289 | Dense: 20 results, BM25: 20 results
2026-04-11 12:00:28.724 | DEBUG    | retriever:retrieve:295 | Fused: 10 candidates for re-ranking
2026-04-11 12:00:36.763 | INFO     | retriever:_get_reranker:102 | Loaded cross-encoder: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-11 12:00:36.857 | INFO     | retriever:retrieve:300 | Retrieved 5 final passages
2026-04-11 12:02:32.119 | INFO     | indexer:load:217 | Loaded FAISS index: 3 vectors from C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\faiss_index\index.faiss
2026-04-11 12:02:54.292 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 12:02:54.293 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 3 chunks
2026-04-11 12:02:54.293 | INFO     | pipeline:load_index:303 | Loaded index with 3 chunks
2026-04-11 12:03:10.096 | INFO     | indexer:load:217 | Loaded FAISS index: 3 vectors from C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\faiss_index\index.faiss
2026-04-11 12:03:15.976 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 12:03:15.977 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 3 chunks
2026-04-11 12:03:15.977 | INFO     | pipeline:load_index:303 | Loaded index with 3 chunks
